Pressure,Flow Rate,Temperature,Consumption Level,Material Type,Age,Maintenance History,Leak
71.31,41.23,31.8,264.27,HDPE,2,Average,0
14.45,47.5,29.49,821.86,Cast Iron,44,Poor,1
60.8,25.05,10.63,90.85,Cast Iron,9,Average,0
49.77,13.23,25.83,263.41,Cast Iron,1,Average,0
43.4,33.4,17.49,443.24,HDPE,24,Poor,1
78.37,18.27,8.83,260.54,Steel,15,Average,0
69.42,16.82,12.85,352.54,Steel,9,Good,0
66.58,28.93,22.96,469.09,Steel,10,Average,0
32.39,56.18,17.14,703.68,Steel,35,Poor,1
64.68,30.32,25.72,129.31,PVC,30,Average,0
45.47,25.77,12.3,637.26,PVC,40,Poor,1
79.54,27.2,30.39,118.28,HDPE,16,Average,0
32.14,15.87,20.16,141.23,Steel,19,Average,0
54.11,20.47,8.25,453.63,Steel,24,Average,0
34.77,11.63,22.84,222.88,HDPE,19,Average,0
35.95,49.62,14.62,167.98,Copper,11,Good,0
38.25,85.88,5.56,275.27,Steel,38,Poor,1
71.77,23.17,26.51,254.54,Copper,24,Average,0
75.64,23.54,14.69,149.07,Cast Iron,1,Average,0
15.27,89.64,12.75,331.95,Copper,37,Poor,1
66.17,7.94,26.71,299.19,Cast Iron,22,Average,0
29.93,62.62,9.03,708.91,Steel,24,Average,1
68.35,39.95,16.98,264.48,Cast Iron,25,Average,0
54.64,92.37,11.6,824.06,Copper,12,Average,1
30.18,31.46,8.81,79.47,Cast Iron,23,Average,0
61.02,18.53,34.49,447.42,Cast Iron,23,Average,0
24.42,92.72,31.22,521.61,PVC,23,Average,1
35.15,18.99,17.73,279.56,PVC,2,Average,0
21.61,80.77,12.08,318.3,Copper,24,Poor,1
35.0,49.98,14.93,507.26,HDPE,49,Average,1
31.59,68.44,14.49,673.33,PVC,49,Poor,1
47.11,6.53,23.23,227.92,Copper,27,Good,0
18.14,24.22,26.93,224.86,Copper,18,Poor,1
28.4,28.55,22.65,520.86,HDPE,46,Average,1
54.71,29.51,10.87,163.12,HDPE,15,Good,0
34.59,13.19,26.01,133.87,Cast Iron,21,Good,0
77.83,42.33,26.05,292.17,Cast Iron,22,Good,0
31.58,83.73,31.48,944.53,HDPE,36,Average,1
48.14,25.29,25.92,575.31,Copper,29,Average,1
59.93,47.87,24.41,401.11,Copper,14,Average,0
46.82,29.11,33.26,488.32,HDPE,13,Good,0
57.51,16.18,32.56,371.2,Steel,21,Good,0
22.68,22.58,25.23,668.9,PVC,21,Poor,1
58.9,93.7,9.04,733.12,Steel,45,Poor,1
77.09,48.23,34.6,372.35,Cast Iron,26,Good,0
60.1,15.29,8.41,175.99,PVC,9,Average,0
26.44,96.94,5.36,616.74,Copper,39,Poor,1
42.31,61.91,25.58,659.24,Steel,40,Poor,1
70.47,37.47,27.98,481.16,Steel,20,Average,0
39.14,48.12,27.01,770.54,Cast Iron,35,Average,1
32.51,43.14,9.26,900.2,PVC,33,Average,1
37.83,41.25,30.28,306.19,Cast Iron,4,Average,0
24.5,68.05,5.66,324.11,PVC,12,Average,1
17.08,90.65,8.14,543.87,Cast Iron,22,Poor,1
23.01,45.92,30.81,502.65,HDPE,44,Poor,1
16.34,51.39,28.99,608.5,Cast Iron,20,Average,1
46.19,14.07,6.6,409.96,Steel,21,Average,0
39.65,29.65,6.0,431.95,Copper,3,Good,0
76.05,19.85,26.15,149.68,Cast Iron,29,Average,0
57.19,83.51,25.5,311.87,HDPE,49,Average,1
52.1,86.41,9.46,855.7,HDPE,19,Poor,1
51.65,35.78,5.53,287.84,HDPE,45,Poor,1
30.25,28.25,18.95,722.26,PVC,46,Average,1
46.74,72.88,22.15,933.08,Copper,28,Poor,1
42.84,11.03,12.29,339.81,Copper,24,Good,0
78.07,5.51,25.9,303.5,Copper,10,Good,0
13.81,51.61,29.33,712.42,PVC,36,Average,1
43.19,48.42,22.24,981.91,Steel,15,Average,1
63.03,23.28,23.24,130.95,PVC,22,Good,0
44.52,33.99,29.51,168.8,HDPE,1,Average,0
65.93,14.78,13.41,64.87,PVC,18,Good,0
49.71,43.16,23.47,543.68,HDPE,34,Average,1
42.17,40.52,31.92,478.89,Copper,3,Average,0
49.17,51.03,17.75,212.55,PVC,43,Poor,1
78.24,36.8,26.29,171.51,PVC,20,Good,0
52.34,31.22,33.49,670.77,HDPE,28,Poor,1
54.28,20.13,31.16,845.8,Copper,38,Average,1
56.91,23.92,17.8,494.71,Cast Iron,3,Good,0
61.52,22.14,14.6,126.89,Copper,27,Average,0
37.41,40.89,22.3,482.46,Copper,6,Good,0
26.2,53.66,26.48,220.61,Cast Iron,32,Poor,1
58.12,42.12,13.25,724.91,Cast Iron,15,Poor,1
57.31,35.34,23.51,538.19,Steel,43,Poor,1
46.79,82.11,28.49,616.1,HDPE,37,Poor,1
21.89,57.26,12.35,929.08,PVC,31,Average,1
55.0,40.77,18.35,282.24,HDPE,5,Average,0
42.17,64.74,11.84,867.64,Cast Iron,24,Poor,1
71.43,30.62,10.08,330.5,Copper,16,Good,0
40.2,37.15,5.58,267.89,Cast Iron,20,Average,0
14.79,72.42,16.01,357.9,PVC,46,Poor,1
34.89,83.45,12.57,847.23,Steel,38,Average,1
48.05,28.69,19.14,855.06,HDPE,47,Poor,1
33.3,14.95,22.22,167.9,Cast Iron,20,Average,0
58.4,51.68,18.69,276.32,Steel,41,Average,1
78.38,35.91,27.15,316.8,PVC,27,Good,0
35.42,91.51,34.7,230.96,Copper,49,Poor,1
61.78,30.79,7.29,280.81,HDPE,29,Good,0
27.44,63.03,26.39,802.48,Copper,10,Poor,1
63.95,21.69,33.6,189.07,HDPE,18,Average,0
49.01,8.13,21.25,269.51,Steel,18,Average,0
54.22,43.1,23.23,852.89,Copper,18,Poor,1
42.05,25.11,16.66,56.17,Copper,2,Good,0
67.68,39.47,10.46,178.47,Copper,24,Average,0
65.84,31.59,9.53,110.5,HDPE,28,Good,0
37.12,37.42,6.12,795.46,Copper,26,Poor,1
68.35,49.39,20.59,464.39,HDPE,16,Average,0
29.26,47.02,12.28,911.7,Steel,38,Average,1
68.73,39.0,24.58,319.67,Steel,18,Average,0
54.7,22.69,19.52,241.84,HDPE,28,Average,0
42.3,31.17,32.61,376.72,Cast Iron,6,Good,0
71.07,42.51,9.6,210.2,HDPE,25,Good,0
10.06,69.48,9.84,676.55,Cast Iron,25,Average,1
49.22,84.63,9.26,649.62,HDPE,18,Average,1
42.77,5.74,32.7,175.74,HDPE,5,Average,0
20.97,88.28,34.89,262.1,HDPE,22,Poor,1
24.75,41.14,33.72,851.98,Steel,26,Poor,1
39.06,61.49,10.26,897.21,Copper,47,Average,1
18.42,66.65,29.61,824.99,Cast Iron,15,Poor,1
55.08,22.41,14.36,256.36,HDPE,13,Good,0
12.35,75.25,23.86,587.17,Cast Iron,27,Average,1
53.86,5.49,10.68,265.35,PVC,2,Good,0
22.06,93.53,31.24,954.77,HDPE,17,Average,1
33.59,47.8,29.52,932.35,Steel,17,Poor,1
21.07,48.41,33.63,465.24,PVC,33,Average,1
16.44,47.48,7.49,885.24,PVC,45,Poor,1
47.2,19.43,9.55,369.55,Steel,11,Average,0
70.28,33.56,17.23,228.97,HDPE,14,Average,0
42.83,49.85,25.51,219.27,PVC,8,Average,0
31.5,33.9,29.12,572.02,Copper,38,Poor,1
25.38,92.15,19.33,814.32,Copper,45,Poor,1
36.93,42.2,25.37,631.2,Cast Iron,10,Poor,1
71.61,21.33,32.63,298.54,Cast Iron,3,Good,0
72.6,40.61,18.12,296.26,Cast Iron,6,Average,0
61.99,46.3,29.24,284.77,PVC,9,Good,0
79.3,48.06,30.28,323.25,Cast Iron,30,Average,0
73.03,27.12,19.89,148.87,Steel,12,Average,0
15.65,54.96,33.26,239.44,Steel,34,Poor,1
28.19,60.26,10.19,312.8,HDPE,33,Average,1
59.45,6.22,18.37,102.67,Cast Iron,18,Good,0
50.05,93.82,14.89,801.11,Copper,38,Poor,1
64.4,24.2,12.52,202.62,Steel,15,Average,0
68.19,9.17,12.41,478.39,PVC,26,Good,0
38.81,38.28,14.34,272.6,HDPE,45,Average,1
41.63,11.99,10.65,374.32,PVC,28,Average,0
15.12,48.38,32.09,838.34,Steel,38,Average,1
74.04,29.05,17.96,438.77,Copper,7,Average,0
51.2,19.51,12.15,133.08,HDPE,27,Good,0
41.95,91.13,19.67,533.36,Steel,13,Average,1
53.11,59.67,15.86,753.36,Steel,50,Poor,1
40.5,48.75,16.47,365.48,Cast Iron,8,Average,0
20.06,70.93,19.25,763.66,PVC,13,Average,1
42.54,99.67,13.88,263.58,PVC,29,Poor,1
28.53,36.03,19.66,426.52,Cast Iron,40,Average,1
57.37,75.56,23.21,619.15,PVC,50,Poor,1
38.34,25.59,25.06,267.14,Cast Iron,1,Good,0
66.34,26.6,17.97,437.1,HDPE,19,Average,0
33.47,32.61,15.08,459.72,Steel,1,Good,0
32.0,89.21,30.09,558.88,HDPE,39,Poor,1
41.94,94.28,6.36,603.45,Steel,27,Average,1
70.59,37.28,12.34,120.42,PVC,26,Good,0
52.11,40.92,32.91,666.48,HDPE,27,Poor,1
68.76,16.03,29.93,382.11,Steel,15,Average,0
19.14,74.46,9.53,297.6,Copper,21,Poor,1
40.15,95.37,7.3,658.85,Cast Iron,48,Average,1
73.22,15.93,25.16,215.13,HDPE,8,Average,0
52.28,34.28,7.39,113.87,HDPE,24,Average,0
55.73,32.58,13.14,401.62,HDPE,27,Good,0
77.01,29.89,13.54,382.37,Steel,22,Average,0
25.44,51.44,16.09,592.78,Copper,20,Poor,1
67.2,5.08,13.19,387.38,Cast Iron,8,Good,0
56.17,53.71,19.32,991.85,Cast Iron,14,Average,1
65.58,30.12,12.15,297.17,HDPE,5,Good,0
39.17,5.33,9.48,165.4,PVC,17,Average,0
30.39,52.56,27.55,475.12,Copper,48,Poor,1
59.5,37.79,16.94,263.62,Cast Iron,30,Average,1
48.33,40.47,29.02,396.55,Copper,23,Average,0
51.34,96.98,33.66,677.42,Copper,33,Poor,1
52.8,77.39,10.01,635.21,HDPE,41,Poor,1
47.38,67.05,8.97,331.78,PVC,39,Poor,1
29.36,37.6,16.79,984.76,Cast Iron,43,Average,1
59.56,62.13,12.67,688.45,HDPE,29,Poor,1
50.37,39.06,20.43,266.57,PVC,1,Average,0
48.77,29.27,7.84,299.17,HDPE,27,Good,0
67.69,7.31,6.89,363.8,Cast Iron,21,Good,0
55.08,52.31,18.51,853.7,Copper,42,Average,1
10.51,35.32,26.24,549.75,Steel,48,Average,1
49.26,16.5,16.78,151.12,Steel,21,Good,0
39.08,58.55,14.49,626.14,HDPE,28,Average,1
66.18,14.89,27.8,264.39,PVC,10,Good,0
47.64,42.14,10.18,203.45,HDPE,20,Average,0
38.38,22.89,18.81,419.29,Steel,17,Good,0
59.21,7.61,21.14,281.96,Cast Iron,11,Good,0
56.19,25.34,28.13,508.66,Cast Iron,39,Poor,1
53.91,5.48,19.57,436.49,Cast Iron,8,Average,0
41.17,72.35,22.81,759.88,HDPE,43,Poor,1
26.37,56.32,30.62,841.76,Steel,35,Poor,1
34.55,66.63,27.28,556.53,PVC,42,Average,1
21.89,74.2,9.66,551.83,HDPE,24,Poor,1
66.72,25.37,20.1,110.3,Steel,30,Average,0
73.97,42.4,13.01,237.13,Steel,5,Good,0
46.6,53.43,33.64,333.27,HDPE,37,Average,1
65.53,29.7,11.75,319.33,Copper,19,Average,0
61.22,23.32,33.3,336.1,PVC,4,Average,0
74.03,13.66,16.65,67.8,HDPE,30,Good,0
19.68,41.22,17.73,799.93,PVC,21,Poor,1
31.07,42.37,6.5,288.13,HDPE,29,Poor,1
53.85,74.59,31.74,449.48,HDPE,20,Average,1
60.88,37.45,13.36,278.39,Steel,22,Good,0
52.82,90.45,15.22,211.74,Steel,36,Average,1
23.31,91.43,18.43,219.2,PVC,47,Average,1
45.75,19.57,8.87,433.67,HDPE,2,Average,0
57.09,40.78,13.28,290.36,Copper,7,Good,0
19.12,43.45,31.04,739.43,Steel,39,Poor,1
53.0,30.22,10.32,450.71,Copper,8,Good,0
55.3,90.44,9.38,459.2,Cast Iron,37,Poor,1
39.73,25.61,9.1,478.62,Cast Iron,18,Average,0
59.62,23.21,5.55,81.26,PVC,15,Average,0
42.77,26.85,21.48,251.16,Cast Iron,13,Average,0
19.21,20.77,6.13,491.29,Steel,27,Average,1
38.86,72.94,16.34,716.57,Steel,35,Poor,1
16.02,24.35,10.17,714.13,HDPE,47,Average,1
64.83,29.14,6.79,499.51,Cast Iron,2,Average,0
51.61,44.27,25.51,482.22,Copper,33,Poor,1
52.29,73.5,21.99,204.75,Steel,49,Poor,1
41.28,23.62,6.26,422.94,Copper,25,Good,0
70.9,40.82,16.72,402.74,HDPE,28,Good,0
47.83,43.06,12.57,493.23,PVC,20,Average,0
13.43,79.2,10.66,702.41,PVC,16,Poor,1
72.99,47.54,24.28,156.54,Cast Iron,6,Average,0
58.97,46.56,34.88,396.46,Steel,29,Good,0
54.37,23.87,8.91,370.07,HDPE,18,Average,0
43.16,15.6,6.32,283.44,Cast Iron,7,Good,0
63.66,11.71,12.37,301.16,PVC,20,Good,0
14.99,83.26,30.33,508.28,HDPE,26,Average,1
62.88,33.8,33.35,81.51,Copper,1,Average,0
38.79,27.19,33.45,338.07,HDPE,11,Good,0
60.02,32.06,10.09,70.63,Cast Iron,20,Average,0
19.3,36.61,32.85,446.46,PVC,31,Average,1
76.81,38.06,23.35,55.3,HDPE,1,Good,0
39.48,23.42,30.4,220.4,Cast Iron,34,Average,1
58.59,65.44,31.21,369.74,Steel,40,Average,1
21.14,83.98,13.1,507.02,Copper,44,Average,1
58.25,18.23,8.73,482.62,PVC,5,Average,0
44.38,20.77,26.43,494.35,PVC,21,Good,0
24.59,21.51,33.88,926.24,Cast Iron,20,Average,1
62.73,26.88,34.81,499.4,PVC,26,Good,0
13.72,93.55,32.69,614.15,Copper,33,Poor,1
10.22,33.5,11.97,254.51,Copper,44,Average,1
37.58,6.84,13.61,394.52,HDPE,24,Good,0
34.48,38.81,13.12,67.91,Copper,5,Average,0
41.48,67.47,31.49,700.65,PVC,14,Poor,1
35.93,35.29,21.67,147.44,HDPE,16,Average,0
42.81,83.17,30.06,569.24,Cast Iron,47,Average,1
47.08,86.21,6.49,307.58,Copper,10,Average,1
55.85,21.36,18.29,68.11,Cast Iron,9,Good,0
22.07,48.02,33.58,989.36,Cast Iron,46,Average,1
69.07,37.46,10.7,488.25,Copper,16,Average,0
30.98,45.37,25.87,867.15,Cast Iron,34,Average,1
52.95,35.52,32.75,206.58,PVC,21,Good,0
75.54,26.64,29.06,393.61,Copper,28,Good,0
65.02,48.38,15.01,279.52,PVC,16,Good,0
33.16,38.53,32.78,316.44,PVC,18,Average,0
23.22,83.66,25.95,722.71,Copper,42,Average,1
22.03,20.66,18.36,954.17,PVC,20,Average,1
50.12,40.77,24.97,819.85,Cast Iron,39,Average,1
50.25,87.38,16.0,978.41,Copper,40,Average,1
66.28,32.81,22.39,83.32,Copper,15,Average,0
32.0,47.05,22.49,89.86,Cast Iron,6,Good,0
76.3,33.4,26.26,103.02,PVC,3,Good,0
68.62,11.27,16.41,141.5,Cast Iron,26,Average,0
34.6,92.35,32.52,358.11,Copper,30,Poor,1
61.65,10.61,24.5,178.88,PVC,11,Average,0
44.19,45.74,6.45,291.62,Cast Iron,14,Good,0
78.3,24.89,29.75,91.15,PVC,16,Good,0
52.03,42.49,24.27,174.74,Steel,15,Good,0
21.33,42.88,12.32,443.87,Steel,42,Average,1
57.6,32.38,5.53,427.29,HDPE,22,Good,0
34.49,32.16,6.56,74.38,Cast Iron,5,Good,0
20.1,73.96,13.87,584.96,PVC,24,Poor,1
42.17,43.04,23.61,226.24,Copper,20,Average,1
38.44,80.05,23.48,202.98,Steel,33,Poor,1
56.69,42.79,34.53,814.44,HDPE,31,Average,1
46.62,31.54,28.26,312.61,Copper,23,Good,0
25.71,77.45,32.11,558.6,Steel,48,Average,1
14.73,81.34,13.83,606.39,Cast Iron,31,Average,1
45.36,15.92,22.14,127.44,HDPE,17,Average,0
41.2,88.25,32.84,880.64,PVC,35,Poor,1
58.55,44.37,23.25,428.25,HDPE,23,Average,0
47.04,44.11,22.6,82.05,HDPE,10,Good,0
17.96,32.72,10.07,595.68,HDPE,41,Average,1
77.48,15.79,24.75,184.69,Copper,12,Good,0
54.82,17.22,9.77,169.97,HDPE,2,Average,0
42.9,25.93,18.27,346.1,Copper,4,Average,0
58.79,35.58,19.88,221.67,Copper,10,Average,0
30.14,25.91,6.22,925.55,Copper,39,Poor,1
65.85,11.79,25.07,454.96,Steel,17,Good,0
17.38,83.04,12.38,386.84,HDPE,24,Poor,1
31.31,59.64,15.7,317.58,Copper,32,Poor,1
73.81,16.28,15.85,98.0,Copper,16,Good,0
29.06,34.32,17.48,374.6,HDPE,25,Poor,1
74.71,14.61,30.73,335.44,PVC,15,Average,0
61.65,22.06,28.27,392.24,Cast Iron,18,Average,0
57.38,16.18,29.97,389.61,Copper,17,Average,0
30.35,39.36,31.07,284.02,Cast Iron,15,Average,1
73.96,16.56,33.59,463.62,Cast Iron,6,Good,0
68.81,36.09,5.14,209.24,HDPE,22,Average,0
74.37,14.82,13.65,153.09,Copper,20,Average,0
45.49,53.01,23.03,284.16,Copper,44,Poor,1
79.75,11.3,15.23,436.69,Copper,12,Good,0
15.45,32.64,30.13,649.42,Cast Iron,47,Average,1
35.8,40.37,6.9,257.54,HDPE,28,Good,0
50.41,91.07,34.62,328.86,HDPE,33,Poor,1
41.21,78.44,16.43,428.41,Steel,37,Average,1
49.34,45.13,27.12,256.18,HDPE,16,Average,0
20.38,55.2,12.31,597.05,Cast Iron,35,Poor,1
59.34,44.81,27.72,444.5,HDPE,24,Good,0
50.99,38.58,31.77,167.3,Cast Iron,2,Average,0
38.82,42.83,24.92,235.73,Copper,21,Good,0
42.61,44.27,28.78,181.14,Copper,29,Good,0
21.83,82.08,28.04,319.91,PVC,17,Poor,1
79.46,41.21,31.46,228.1,Steel,8,Good,0
62.46,49.79,25.94,170.7,Cast Iron,1,Average,0
49.4,58.14,17.87,213.32,PVC,50,Poor,1
38.25,73.77,21.74,306.09,HDPE,21,Poor,1
49.38,18.77,5.8,88.69,HDPE,21,Good,0
74.33,29.7,28.09,240.02,Steel,15,Average,0
19.28,90.62,20.37,936.16,PVC,47,Poor,1
45.87,46.85,23.13,195.66,Cast Iron,11,Average,0
71.24,41.31,17.22,303.83,Steel,7,Good,0
19.78,98.17,31.93,314.89,Cast Iron,25,Average,1
72.34,8.26,10.36,354.63,HDPE,29,Good,0
52.21,78.32,31.85,503.09,Cast Iron,12,Average,1
72.51,41.58,13.94,55.7,Steel,30,Good,0
10.13,59.21,32.64,447.77,Cast Iron,42,Poor,1
54.58,16.12,21.03,153.08,Copper,24,Average,0
67.11,47.81,11.11,72.04,HDPE,28,Average,0
49.85,31.1,26.3,166.41,Steel,29,Average,0
46.27,10.77,5.18,71.67,HDPE,12,Good,0
74.13,37.72,9.44,77.21,Cast Iron,11,Good,0
43.39,26.73,19.43,190.29,Cast Iron,10,Average,0
36.91,41.14,12.37,72.73,Steel,27,Average,0
49.28,42.59,6.15,494.54,HDPE,26,Good,0
52.86,84.08,15.63,393.21,HDPE,44,Poor,1
42.04,9.33,26.26,165.87,Steel,22,Average,0
51.84,48.07,30.72,152.23,Copper,14,Average,0
51.33,26.79,9.11,750.16,Cast Iron,38,Poor,1
30.31,6.43,7.63,249.53,HDPE,15,Average,0
13.67,94.39,6.67,797.84,HDPE,24,Poor,1
49.83,82.95,15.32,914.99,Cast Iron,41,Average,1
41.16,93.08,28.9,344.6,HDPE,49,Poor,1
77.77,11.49,34.31,68.95,Copper,4,Good,0
37.32,18.71,31.84,333.37,PVC,11,Average,0
75.05,7.65,26.16,55.41,Steel,28,Good,0
55.84,30.5,23.6,450.33,HDPE,2,Average,0
59.43,92.28,28.59,802.66,PVC,30,Poor,1
55.53,39.47,21.33,296.69,HDPE,21,Average,0
30.76,61.64,13.53,973.56,HDPE,34,Poor,1
46.02,48.93,20.26,330.11,PVC,20,Good,0
58.32,83.79,9.75,872.09,Cast Iron,14,Poor,1
48.07,73.47,14.46,593.91,Steel,39,Average,1
18.98,81.97,16.26,230.68,Steel,10,Poor,1
56.91,13.32,16.84,222.72,Steel,12,Good,0
39.01,41.67,32.21,277.44,Cast Iron,46,Average,1
34.63,21.87,34.42,476.45,PVC,13,Good,0
66.99,29.33,14.72,359.66,HDPE,30,Average,0
69.63,21.06,20.17,242.02,HDPE,22,Good,0
57.99,9.02,10.26,62.4,Cast Iron,14,Good,0
67.58,13.98,18.02,193.76,PVC,4,Average,0
44.58,37.51,18.67,181.66,PVC,12,Good,0
22.22,58.46,13.95,474.25,Cast Iron,25,Average,1
42.24,45.77,22.52,396.6,PVC,27,Good,0
34.18,26.68,33.38,141.79,PVC,19,Average,0
50.55,83.37,28.56,216.36,HDPE,50,Average,1
48.32,72.45,9.08,458.67,Steel,29,Poor,1
13.55,85.0,18.56,539.61,Cast Iron,39,Poor,1
44.6,30.62,29.01,104.43,Copper,2,Average,0
37.97,26.05,14.28,232.59,Cast Iron,23,Average,0
70.68,24.76,6.55,369.33,Copper,30,Average,0
42.39,24.73,27.85,117.71,Steel,25,Average,0
39.64,20.98,14.25,456.14,HDPE,20,Average,0
45.1,65.36,17.96,276.43,HDPE,41,Average,1
14.83,86.96,25.21,434.74,Steel,19,Average,1
41.02,24.33,15.55,290.37,Cast Iron,13,Poor,1
21.69,39.47,29.58,444.04,PVC,29,Average,1
63.99,18.15,24.16,157.02,Steel,13,Average,0
39.0,70.97,21.74,579.94,Cast Iron,37,Poor,1
79.83,39.87,27.3,239.43,HDPE,12,Good,0
69.22,14.85,20.99,257.12,Steel,25,Average,0
21.79,45.89,15.67,250.37,Cast Iron,27,Poor,1
12.57,50.84,24.25,367.83,PVC,48,Poor,1
56.59,69.65,30.69,344.99,Steel,14,Poor,1
64.3,11.18,10.0,270.0,Copper,19,Good,0
17.41,33.79,31.67,214.02,Copper,17,Average,1
66.82,31.56,11.47,304.86,Steel,15,Good,0
67.71,47.96,10.86,401.69,Cast Iron,26,Good,0
55.12,36.27,13.01,818.26,PVC,26,Average,1
35.8,12.97,5.32,276.99,Steel,4,Average,0
31.88,52.53,5.66,902.72,HDPE,31,Poor,1
49.95,47.55,19.08,113.64,Steel,3,Good,0
48.46,40.07,32.33,368.37,PVC,14,Good,0
31.82,37.21,33.99,103.92,Steel,15,Good,0
71.16,13.96,5.12,133.98,PVC,7,Average,0
73.55,19.56,30.63,86.57,Steel,8,Average,0
40.06,23.53,10.75,78.15,Cast Iron,1,Good,0
41.42,69.3,25.1,635.64,Copper,15,Average,1
54.91,23.58,32.63,250.22,Steel,5,Average,0
71.44,10.76,8.05,261.89,Steel,12,Good,0
65.76,28.26,31.58,281.33,Steel,21,Average,0
44.49,24.93,20.16,65.73,PVC,17,Good,0
73.48,29.32,6.58,352.34,HDPE,1,Good,0
42.15,27.21,33.0,709.41,Copper,36,Average,1
51.2,38.78,10.83,396.02,PVC,11,Average,0
65.29,9.58,25.06,131.31,PVC,2,Good,0
43.63,34.81,9.12,646.36,Steel,17,Average,1
60.52,41.96,6.3,385.15,PVC,1,Good,0
39.74,58.42,15.09,748.83,HDPE,18,Poor,1
40.75,36.54,9.23,130.66,Steel,14,Average,0
76.16,34.22,22.49,361.09,PVC,17,Average,0
65.62,39.53,23.5,414.79,Cast Iron,20,Average,0
68.52,21.77,20.41,347.79,Cast Iron,22,Good,0
78.03,24.42,16.56,278.47,HDPE,14,Average,0
10.15,21.07,17.39,268.19,Copper,18,Average,1
12.54,48.01,27.39,924.72,Copper,35,Average,1
75.46,36.08,26.1,90.93,Copper,30,Average,0
31.37,24.42,25.13,137.67,PVC,9,Good,0
32.19,69.44,13.49,408.01,PVC,18,Poor,1
50.88,19.93,32.97,418.95,Cast Iron,24,Good,0
30.15,7.22,24.6,365.08,Cast Iron,13,Average,0
39.32,96.07,11.87,494.55,Cast Iron,49,Poor,1
45.87,49.77,31.48,457.96,Copper,15,Good,0
49.76,78.15,19.99,205.19,Copper,31,Average,1
35.84,31.58,21.4,187.36,PVC,12,Average,0
40.19,34.45,22.5,261.17,Steel,12,Average,0
34.42,59.34,26.63,572.76,Steel,46,Average,1
38.56,27.88,28.08,114.54,Cast Iron,19,Good,0
46.22,41.22,22.23,226.96,PVC,29,Good,0
62.34,20.97,27.5,364.92,PVC,29,Average,0
74.04,8.24,12.87,244.51,Cast Iron,17,Good,0
42.75,99.57,24.58,852.48,Copper,48,Poor,1
54.31,13.62,5.59,340.31,PVC,6,Good,0
51.7,77.61,27.17,279.63,Steel,17,Average,1
77.37,15.67,26.7,310.23,PVC,30,Good,0
30.25,58.73,23.4,497.23,PVC,31,Poor,1
77.9,22.1,22.52,352.48,HDPE,20,Average,0
51.39,23.41,10.8,88.86,Cast Iron,1,Good,0
35.16,46.13,8.57,208.0,Cast Iron,3,Average,0
39.25,12.11,32.47,111.91,Cast Iron,19,Average,0
50.17,65.68,19.51,567.58,Steel,39,Average,1
78.75,13.45,11.72,78.44,PVC,22,Good,0
71.26,37.43,6.97,111.35,HDPE,4,Good,0
54.86,45.86,21.24,377.51,Copper,28,Average,0
46.19,64.34,31.96,203.98,Steel,23,Average,1
74.97,20.52,26.74,334.76,Cast Iron,17,Average,0
43.17,29.23,12.49,214.21,HDPE,1,Good,0
39.69,64.35,13.21,466.24,PVC,20,Poor,1
42.63,33.27,8.09,467.97,Copper,17,Good,0
15.59,26.46,11.35,294.07,HDPE,27,Average,1
32.94,34.42,18.84,62.12,Cast Iron,17,Good,0
49.46,43.16,19.44,315.55,Copper,39,Average,1
23.4,52.86,12.69,881.54,Copper,50,Average,1
57.67,36.34,15.66,193.89,Cast Iron,10,Good,0
27.0,84.65,27.2,745.77,Steel,47,Poor,1
18.88,62.84,32.17,748.18,Cast Iron,32,Poor,1
64.47,12.98,24.85,187.05,Cast Iron,29,Good,0
69.93,41.17,13.91,268.73,Cast Iron,12,Average,0
40.69,23.99,5.91,101.8,Copper,24,Good,0
43.86,54.51,13.12,873.51,Copper,28,Average,1
52.96,42.24,15.35,119.04,HDPE,20,Average,0
67.22,28.55,32.79,108.86,PVC,9,Average,0
38.55,29.1,6.49,514.15,Copper,27,Average,1
53.49,43.64,34.58,793.25,Cast Iron,22,Average,1
60.44,14.66,28.87,394.0,Steel,5,Average,0
37.8,24.95,21.59,388.84,Steel,5,Average,0
35.86,54.63,17.27,690.13,Steel,45,Average,1
55.79,21.56,6.69,242.52,PVC,1,Average,0
27.75,84.68,12.91,395.25,Cast Iron,18,Average,1
11.1,81.46,16.27,376.67,Steel,17,Average,1
49.44,94.05,16.35,375.06,Copper,24,Average,1
57.34,30.11,17.87,821.99,Cast Iron,34,Poor,1
49.87,39.78,18.01,196.54,Cast Iron,17,Good,0
65.64,16.2,14.0,57.9,Cast Iron,29,Average,0
34.84,34.61,29.82,124.49,HDPE,27,Average,0
20.15,63.2,17.95,558.48,Steel,12,Average,1
25.73,25.93,14.84,388.85,Cast Iron,22,Average,1
52.72,95.98,16.9,386.71,Cast Iron,41,Average,1
17.54,57.32,21.86,607.25,PVC,49,Average,1
34.87,63.27,6.95,353.63,PVC,27,Poor,1
78.62,24.13,27.04,393.03,Copper,23,Good,0
60.88,17.03,8.68,50.03,Cast Iron,2,Good,0
56.64,25.82,24.17,730.1,PVC,14,Poor,1
23.14,70.32,10.07,751.84,Copper,13,Poor,1
19.13,52.61,6.3,723.61,Copper,27,Average,1
16.0,22.81,19.76,658.91,HDPE,44,Average,1
18.5,93.74,5.9,358.5,Copper,48,Average,1
17.15,26.53,28.64,753.53,Cast Iron,42,Poor,1
11.96,25.41,25.86,384.76,HDPE,37,Poor,1
